"year","month","week","accidents","fatalities","total_gdp","gdp_per_capita","unemployment","population","vehicles","inflation_rate","quarter","season","is_summer","is_winter","is_holiday","AccidentGrowthRate","FatalityGrowthRate","FatalityRate","AccidentChangeRate","FatalityChangeRate","AccidentsPerCapita","FatalitiesPerCapita","AccidentsPerVehicle","economic_crisis","covid","new_highways","speed_limits","seat_belt","helmet","alcohol","phone","licensing","airbags","abs","kid_seat","fines","pedestrians","kteo","point_system"
1996,"4",2,481,47,100.664,9.489,426.8,10608821,3797234,8.2,2,"Spring",0,0,0,0.139810426540284,0.88,0.0977130977130977,0.139810426540284,0.88,4.53396282207043e-05,4.4302755226052e-06,0.000126671150632276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"4",3,362,39,100.664,9.489,426.8,10608821,3797234,8.2,2,"Spring",0,0,1,-0.247401247401247,-0.170212765957447,0.107734806629834,-0.247401247401247,-0.170212765957447,3.41225476421932e-05,3.67618607194899e-06,9.53325499560996e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"4",4,409,28,100.664,9.489,426.8,10608821,3797234,8.2,2,"Spring",0,0,0,0.129834254143646,-0.282051282051282,0.0684596577017115,0.129834254143646,-0.282051282051282,3.85528231647984e-05,2.63931307729671e-06,0.000107709980475262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"4",5,196,18,100.664,9.489,426.8,10608821,3797234,8.2,2,"Spring",0,0,0,-0.52078239608802,-0.357142857142857,0.0918367346938776,-0.52078239608802,-0.357142857142857,1.8475191541077e-05,1.69670126397646e-06,5.16165187607611e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"5",1,312,25,100.664,9.489,426.8,10608821,3797234,8.2,2,"Spring",0,0,1,0.591836734693878,0.388888888888889,0.0801282051282051,0.591836734693878,0.388888888888889,2.9409488575592e-05,2.35652953330064e-06,8.21650706803953e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"5",2,512,45,100.664,9.489,426.8,10608821,3797234,8.2,2,"Spring",0,0,0,0.641025641025641,0.8,0.087890625,0.641025641025641,0.8,4.8261724841997e-05,4.24175315994115e-06,0.000134834987783213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"5",3,456,28,100.664,9.489,426.8,10608821,3797234,8.2,2,"Spring",0,0,0,-0.109375,-0.377777777777778,0.0614035087719298,-0.109375,-0.377777777777778,4.29830986874036e-05,2.63931307729671e-06,0.000120087410994424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"5",4,539,36,100.664,9.489,426.8,10608821,3797234,8.2,2,"Spring",0,0,0,0.182017543859649,0.285714285714286,0.0667903525046382,0.182017543859649,0.285714285714286,5.08067767379617e-05,3.39340252795292e-06,0.000141945426592093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"5",5,380,24,100.664,9.489,426.8,10608821,3797234,8.2,2,"Spring",0,0,0,-0.294990723562152,-0.333333333333333,0.0631578947368421,-0.294990723562152,-0.333333333333333,3.58192489061697e-05,2.26226835196861e-06,0.000100072842495353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"6",1,75,4,100.664,9.489,426.8,10608821,3797234,8.2,2,"Summer",1,0,0,-0.802631578947368,-0.833333333333333,0.0533333333333333,-0.802631578947368,-0.833333333333333,7.06958859990191e-06,3.77044725328102e-07,1.97512189135566e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
